open,high,low,close
9172,9241,9103,9213.5
9213.5,9226,9130.5,9163
9163,9442.5,9155.5,9394
9394.5,9570.5,9276,9538
9537,9682.5,9451.5,9610.5
9610.5,9648.5,9476.5,9552
9549.5,9749,9535,9711
9711,10201.5,9657.5,9941.5
9943,11420,9936.5,11046
11046,11259.5,10580.5,10929.5
10929,11353,10848.5,11113
11113,11188,10828,11114
11114,11460,10971.5,11352
11352,11885.5,11236,11816
11816,12115.5,10727.5,11070
11070,11480.5,10931,11234
11234,11422.5,11024,11199.5
11199.5,11795.5,11103,11756.5
11756,11913,11575,11772
11772,11920.5,11331,11604
11608.5,11814,11527,11768
11768,11800,11534,11687
11687,12079.5,11534,11903
11903,11944.5,11123.5,11388
11388,11628,11155,11569.5
11569.5,11811,11274.5,11798
11798,11863.5,11656,11775.5
11775.5,11991.5,11689.5,11858.5
11858.5,11940.5,11691.5,11917.5
11917.5,12485.5,11716,12297
12297,12402,11811.5,11954.5
11954.5,12022.5,11565.5,11757
11757,11894.5,11677,11864
11863,11887,11483,11530
11530,11692,11369.5,11673.5
11671,11718.5,11525.5,11653
11653,11829.5,11594,11752
11752,11769,11113,11327.5
11327.5,11545.5,11254,11467
11467,11592.5,11128.5,11333
11333,11552.5,11280.5,11534.5
11534.5,11587,11430,11473.5
11473.5,11721,11463.5,11714.5
11713,11780.5,11576.5,11654.5
11654.5,12064,11529,11925
11924.5,11957.5,11133,11396.5
11396.5,11475,9850,10165
10165,10636,9825,10455.5
10455.5,10569,9837,10167.5
10169,10351,9991.5,10256.5
10256.5,10410,9879.5,10374
10374,10442.5,9850,10126.5
10126.5,10349.5,9983,10221
10221,10490,10216.5,10340.5
10340.5,10407.5,10202.5,10394.5
10394,10479,10273,10442
10442,10584,10212,10332.5
10332.5,10757.5,10252.5,10676.5
10676.5,10937,10621,10785.5
10785.5,11098.5,10660.5,10954.5
10954.5,11047,10742,10943
10943,11043.5,10816,10937
10937,11181,10892,11082.5
11082.5,11082.5,10763,10919.5
10919.5,10994,10285,10419
10419,10577.5,10360,10533.5
10533.5,10539,10136.5,10239.5
10239.5,10808.5,10191.5,10745
10744.5,10763.5,10558,10692.5
10692.5,10831,10655.5,10731
10731,10804,10595.5,10775.5
10775.5,10951,10633.5,10690.5
10690.5,10867.5,10637,10841.5
10841.5,10849.5,10660.5,10777.5
10777.5,10950.5,10448,10614
10614,10663.5,10380.5,10573.5
10573.5,10610.5,10500,10550
10550,10701,10526,10669.5
10669.5,10804,10624,10800
10800,10805.5,10523,10602.5
10602.5,10681,10544,10669
10669,10967.5,10535,10930.5
10930.5,11110.5,10826.5,11058.5
11058,11490.5,11057.5,11298
11298,11443,11280.5,11373
11373,11727,11200,11535.5
11535.5,11559.5,11313.5,11427
11427,11554.5,11296,11427
11427,11619.5,11266,11510
11510,11548.5,11200,11326.5
11326.5,11408.5,11270.5,11365
11365,11514.5,11351.5,11510
11510,11835.5,11417.5,11759
11759,12052.5,11689.5,11921.5
11921.5,13245.5,11901,12807
12807,13200.5,12625.5,12988
12988,13037.5,12729,12938
12938,13175.5,12883,13124
13124,13361,12908.5,13044
13044,13245.5,12780,13069.5
13069.5,13792.5,13064,13642
13642,13862,12897,13277.5
13277.5,13655,12983,13468.5
13468.5,13678.5,13128,13569.5
13569.5,14101,13430,13802.5
13802.5,13908,13634.5,13768.5
13768.5,13846,13214.5,13567
13567,14074,13292,14033.5
14033.5,14274,13534,14166
14166,15765,14115.5,15608
15608,15974,15185.5,15600
15600,15776,14349,14838
14838,15667,14729,15485.5
15485.5,15853,14817.5,15338.5
15338.5,15481,15094,15313.5
15313.5,16011.5,15293.5,15700.5
15700.5,16360,15460,16300
16300,16490,15967.5,16337
16337,16340.5,15721.5,16080.5
16080.5,16174.5,15787,15971.5
15971.5,16894.5,15878,16722.5
16722.5,17873,16567.5,17683
17683,18491.5,17250,17792.5
17792.5,18184.5,17358,17824.5
17824.5,18828,17769,18673.5
18673.5,18984,18354,18717
18717,18768.5,17629.5,18437.5
18437.5,18778.5,18015.5,18382.5
18382.5,19436,18063.5,19167.5
19167.5,19509,18512,18721.5
18721.5,18915,16200,17150.5
17150.5,17468.5,16432,17147
17147,17888.5,16881.5,17726
17726,18350,17538,18194.5
18194.5,19883.5,18194.5,19703
19703,19923.5,17931,18780
18780,19347,18340.5,19220.5
19220.5,19620.5,18859,19444.5
19444.5,19539.5,18554.5,18659
18659,19180,18505.5,19160.5
19160.5,19429.5,18878,19376
19376,19431.5,18911,19184
19184,19299.5,18166,18314.5
18314.5,18639,17639,18549.5
18549.5,18557.5,17910,18252
18252,18288,17572,18038.5
18038.5,18960,18021,18815.5
18815.5,19415.5,18729,19163.5
19163.5,19349.5,19002,19275
19275,19568.5,19056,19438
19438,21576.5,19290.5,21358.5
21358.5,23775,21255,22808.5
22808.5,23300,22338,23136
23136,24193.5,22772,23851
23851,24299.5,23010.5,23478
23476,24130,21910.5,22728
22728,23845.5,22370,23819.5
23819.5,24131.5,22604.5,23220.5
23220.5,23783,22702,23717.5
23717.5,24773.5,23409,24697.5
24697.5,26828.5,24480,26459
26459,28381,25800,26245.5
26245.5,27473.5,26077,27033
27033,27396.5,25826.5,27365.5
27365.5,29005,27336,28879.5
28879.5,29317,27938.5,28965
28965,29691.5,28700,29399
29399,33349.5,29023.5,32201.5
32201.5,34809.5,31978,33045.5
33045.5,33658.5,27700.5,32005
32005,34499.5,29923.5,34034.5
34034.5,37038,33367,36871.5
36871.5,40428,36260,39485
39485,42000,36548,40625
40625,41410,38780,40234
40234,41447,35001,38162
38158,38330,30255,35484
35484,36682,32484,34021
34021,37847,32325,37374
37374,40120,36753,39122
39122,39700,34381,36739
36739,37948,35370,35999
35999,36866,33832,35817
35817,37449,34765,36646
36646,37880,35884,35902
35902,36400,33384,35480
35480,35614,30030,30848
30848,33861,28820,32994
32994,33489,31431,32092
32092,33108,30946,32304
32304,34875,31913,32257
32257,32936,30846,32502
32502,33005,29246,30409
30409,33829,29869,33443
33443,38644,31975,34238
34242,34930,32827,34299
34299,34367,32190,33118
33118,34718,32312,33545
33545,36028,33453,35521
35521,37718,35409,37687
37687,38774,36178,36980
36980,38367,36609,38346
38333,40999,38258,39256
39256,39747,37400,38867
38867,46864,38046,46427
46428,48273,45075,46486
46486,47381,43682,44834
44834,48736,44015,48029
48029,49047,46174,47388
47388,48204,46232,47215
47215,49748,47071,48650
48650,49044,45646,47910
47910,50666,47033,49152
49146,52642,48945,52138
52138,52568,50874,51553
51553,56416,50735,55937
55937,57592,54000,55899
55899,58366,55502,57483
57483,57559,47500,54075
54075,54184,44851,48903
48903,51382,46759,49710
49710,52302,46679,47086
47086,48469,44102,46291
46291,48387,45028,46160
46160,46666,43002,45231
45231,49832,45043,49631
49631,50250,47046,48473
48480,52661,48159,50368
50368,51808,47466,48362
48362,49478,46281,48751
48751,49224,47040,48913
48913,51475,48913,51000
51000,52430,49308,52408
52408,54931,51850,54889
54889,57447,53037,55854
55854,58174,54269,57821
57812,58109,55042,57242
57242,61806,56016,61186
61186,61678,58963,58970
58970,60622,54651,55600
55600,56945,53262,56931
56932,59000,54062,58925
58943,60125,57000,57623
57623,59475,56248,58043
58043,59913,57828,58101
58101,58639,55504,57351
57361,58430,53655,54093
54093,55862,52948,54351
54351,57200,50061,52258
52258,53222,50414,51303
51303,55112,51241,55063
55063,56632,53944,55844
55844,56565,54680,55775
55775,58450,54885,57642
57642,59401,57032,58775
58775,59844,56800,58790
58790,59517,57917,58721
58721,60187,58428,58960
58960,59796,56899,57061
57071,58514,56450,58211
58211,59308,56786,59157
59157,59509,57370,58008
58008,58640,55421,55926
55926,58173,55666,58092
58092,58901,57655,58106
58111,61288,57846,59772
59772,60684,59150,59983
59983,61274,59362,59819
59819,63792,59788,63587
63587,64887,61263,62959
62959,63865,62013,63233
63233,63592,60022,61411
61411,62575,59636,60051
60051,60393,49880,56239
56239,57607,54249,55686
55686,57133,53331,56475
56475,56813,53622,53791
53791,55493,50444,51691
51691,52113,47445,51145
51145,51186,48700,50082
50082,50598,47000,49110
49110,54406,48807,54047
54050,55534,53300,55071
55072,56500,53868,54875
54875,55231,52352,53597
53597,58007,53051,57770
57770,58575,57040,57879
57879,57974,56071,56612
56612,59006,56431,57204
57204,57249,53000,53198
53197,57998,52891,57516
57516,58437,55285,56426
56426,58725,55270,57362
57362,59575,56951,58940
58942,59303,56250,58298
58298,59643,53500,55857
55857,56959,54522,56756
56756,58057,48109,49552
49550,51387,45853,49674
49674,51551,48857,49890
49890,50713,46548,46751
46751,49802,43841,46451
46451,46683,42120,43577
43577,45833,42274,42881
42881,43619,29150,36724
36733,42477,34943,40590
40594,42288,33502,37325
37325,38880,35213,37484
37484,38301,31096,34734
34750,39976,34431,38860
38860,39862,36443,38363
38363,40907,37842,39250
39250,40465,37191,38555
38557,38893,34709,35682
35682,37341,33651,34633
34633,36515,33402,35660
35660,37520,34173,37279
37280,37899,35652,36688
36688,38231,35917,37580
37580,39472,37183,39249
39249,39286,35587,36847
36847,37924,34826,35526
35526,36486,35225,35812
35812,36780,33288,33566
33565,34055,31000,33403
33408,37544,32423,37409
37411,38465,35812,36700
36701,37679,35930,37330
37330,37459,34602,35542
35563,39372,34682,39035
39035,41070,38746,40531
40531,41347,39500,40154
40154,40498,38111,38343
38343,39562,37355,38089
38089,38192,35146,35831
35831,36467,34847,35490
35490,36147,33317,35599
35599,35788,31248,31609
31608,33300,28819,32531
32531,34851,31724,33686
33686,35303,32311,34661
34661,35517,31276,31582
31582,32715,30142,32283
32278,34749,32000,34716
34716,35300,33898,34502
34502,36633,34228,35919
35919,36116,34050,35056
35056,35067,32705,33506
33507,33975,32700,33794
33794,34953,33318,34681
34681,35966,34372,35290
35290,35295,33134,33705
33705,35115,33508,34224
34220,35081,33780,33869
33869,33933,32075,32869
32869,34100,32276,33817
33817,34266,33035,33511
33511,34608,33323,34257
34257,34672,32656,33090
33088,33338,32187,32727
32727,33118,31578,32819
32819,33188,31138,31877
31877,32259,31037,31388
31388,31959,31168,31522
31522,32462,31106,31784
31784,31899,30423,30845
30845,31059,29284,29791
29791,32800,29496,32131
32131,32600,31721,32295
32295,33678,31989,33666
33667,34523,33430,34283
34283,35431,33883,35413
35413,40579,35246,37253
37253,39561,36406,39488
39488,40937,38806,40036
40036,40666,39255,40046
40046,42336,38333,42232
42230,42428,41055,41494
41494,42608,39415,39847
39879,40448,38682,39151
39151,39800,37634,38198
38197,39969,37411,39732
39732,41387,37258,40894
40894,43431,39862,42868
42868,44746,42466,44622
44622,45359,43287,43823
43823,46494,42791,46273
46273,46755,44655,45591
45591,46778,45351,45546
45537,46236,43800,44417
44417,47944,44240,47850
47851,48211,46035,47114
47114,47411,45500,47012
47012,48080,45675,45917
45917,47187,44392,44683
44683,46035,44223,44717
44717,47107,43933,46767
46767,49418,46642,49366
49366,49842,48277,48858
48858,49548,48072,49281
49281,50549,49028,49499
49499,49876,47551,47677
47677,49250,47124,48996
48996,49367,46304,46847
46847,49182,46334,49089
49090,49330,48371,48937
48937,49680,47729,48794
48794,48905,46863,46984
46983,48269,46695,47122
47121,49131,46521,48846
48846,50407,48623,49273
49273,51083,48340,50024
50025,50564,49387,49936
49936,51928,49463,51807
51807,52811,51044,52701
52701,52961,42923,46871
46871,47361,44381,46059
46059,47404,45513,46392
46392,47039,44116,44859
44855,45994,44722,45170
45175,46489,44741,46024
46027,46918,43378,44965
44965,47272,44699,47145
47137,48461,46700,48143
48143,48521,47042,47758
47758,48171,46752,47300
47304,48825,47042,48308
48308,48380,46833,47253
47253,47345,42502,43010
43006,43643,39710,40721
40721,44040,40567,43571
43571,45000,43091,44891
44891,45186,40711,42839
42839,42995,41663,42702
42702,43956,40784,43184
43184,44387,42097,42154
42153,42777,40878,41020
41019,42601,40751,41521
41521,44136,41411,43830
43830,48498,43286,48168
48168,48367,47459,47668
47668,49261,47108,48232
48232,49537,46918,49239
49239,51920,49053,51495
51496,55781,50415,55341
55341,55352,53395,53815
53815,56131,53651,53962
53962,55500,53682,54963
54963,56530,54102,54688
54684,57850,54455,57492
57492,57684,53900,56004
56004,57790,54233,57382
57382,58549,56709,57360
57360,62891,56869,61700
61700,62359,60109,60878
60878,61727,58974,61533
61533,62703,59882,62026
62026,64511,61210,64312
64312,67082,63503,66022
66022,66660,58555,62212
62212,63760,60000,60680
60680,61733,59592,61292
61292,61486,59481,60858
60858,63733,60648,63086
63086,63294,59811,60312
60318,61500,58000,58449
58449,62567,57556,60613
60613,62994,60171,62256
62256,62381,60690,61897
61897,62431,60000,61339
61339,62500,59345,60936
60936,64303,60634,63278
63278,63574,60250,62932
62932,63121,60730,61437
61437,62647,60780,61021
61021,61606,60111,61529
61529,63350,61391,63337
63337,67887,63337,67583
67583,68672,66211,66965
66967,69081,62782,64915
64899,65610,64128,64804
64801,65471,62298,64137
64137,64994,63381,64390
64390,65541,63582,65527
65527,66381,63363,63616
63615,63616,58500,60096
60096,60848,58250,60368
60368,60979,56498,56911
56911,58367,55623,58117
58117,59887,57421,59744
59744,60067,58545,58671
58671,59588,55629,56271
56271,57884,55285,57558
57558,57763,55896,57152
57152,59444,57000,58982
58985,59198,53500,53747
53755,55311,53635,54754
54754,57500,53258,57342
57342,58924,56721,57831
57831,59252,55900,56986
56986,59112,56485,57221
57221,57428,55800,56519
56519,57681,51593,53643
53643,53885,41800,49243
49243,49754,47787,49456
49456,50944,46948,50519
50519,51989,50061,50638
50638,51295,48647,50526
50526,50851,47334,47568
47568,50100,46900,47171
47171,49529,46782,49413
49413,50816,48666,50095
50095,50219,45610,46718
46718,48706,46292,48375
48374,49527,46551,48886
48895,49465,47524,47636
47636,48007,45434,46156
46157,47371,45520,46855
46855,48367,46441,46683
46683,47576,45569,46921
46921,49333,46658,48918
48918,49597,48447,48614
48614,51397,48034,50848
50848,51855,50430,50849
50850,51214,50158,50432
50432,51314,49460,50792
50799,52129,50473,50721
50721,50721,47310,47550
47550,48146,46089,46458
46458,47934,45922,47126
47126,48580,45650,46199
46199,47975,46199,47740
47740,48004,46648,47302
47301,48255,45696,46451
46451,47543,45511,45822
45822,47107,42426,43435
43444,43782,42417,43085
43085,43137,40600,41567
41567,42318,40519,41682
41682,42793,41158,41869
41869,42245,39645,41824
41824,43125,41276,42739
42738,44333,42464,43912
43912,44438,42329,42572
42572,43478,41765,43089
43089,43816,42579,43099
43099,43492,42600,43095
43095,43203,41564,42216
42216,42722,41289,42362
42362,42579,41148,41667
41667,43511,40546,40664
40664,41107,35400,36444
36444,36832,34017,35077
35077,36532,34612,36268
36268,37568,32915,36684
36684,37590,35713,36974
36971,38924,36270,36835
36835,37253,34350,37181
37181,38025,36172,37730
37730,38799,37293,38190
38190,38400,37362,37909
37909,38768,36650,38487
38487,39305,38003,38719
38719,38889,36600,36919
36919,37398,36256,37333
37333,41760,37053,41600
41600,41956,40959,41408
41408,42716,41133,42409
42409,44548,41666,43871
43871,45541,42681,44081
44081,44850,43124,44415
44415,45880,43214,43523
43523,43999,41966,42399
42399,43041,41744,42245
42245,42790,41892,42077
42077,42881,41573,42553
42553,44800,42439,44576
44576,44579,43311,43900
43900,44188,40089,40540
40540,40997,39436,40002
40002,40521,39649,40104
40104,40140,38000,38392
38392,39504,36814,37031
37031,38466,36363,38252
38252,39271,37054,37269
37269,39855,34334,38343
38343,39706,37986,39239
39239,40300,38598,39136
39136,39871,36997,37710
37710,44223,37458,43188
43182,44997,42822,44452
44452,45366,43321,43924
43924,44103,41825,42462
42462,42542,38571,39155
39155,39612,38575,39400
39400,39697,38100,38418
38418,39546,37154,37986
37986,39389,37869,38742
38742,42627,38654,41952
41952,42053,38523,39432
39432,40250,38243,38733
38733,39494,38663,38804
38804,39322,37580,37782
37782,39932,37564,39681
39681,39909,38119,39291
39291,41730,38764,41131
41131,41493,40500,40939
40939,42370,40148,41780
41780,42418,41524,42231
42231,42310,40899,41280
41280,41577,40494,41008
41008,43388,40885,42373
42373,43048,41758,42900
42900,44251,42618,44014
44014,45133,43608,44331
44331,44818,44086,44538
44538,46961,44445,46841
46841,48224,46672,47145
47145,48128,46948,47451
