Open,High,Low,Close,Volume
3046.749,3069.662,3031.023,3067.75,88481189
3069.66,3083.345,3061.759,3074.576,96499411
3076.957,3082.965,3051.211,3053.125,92867190
3058.928,3076.749,3052.213,3056.808,89266365
3051.356,3051.356,3012.308,3019.176,90190542
3017.215,3067.707,3009.905,3059.715,93077716
3076.048,3130.279,3071.69,3123.798,131895114
3123.832,3132.576,3113.767,3128.468,102431515
3129.574,3130.112,3101.756,3109.105,101143351
3111.935,3148.344,3111.935,3147.416,126779213
3154.77,3159.598,3141.866,3157.957,122789383
3170.612,3177.968,3141.93,3158.681,116814703
3156.314,3161.081,3132.236,3148.222,103521570
3143.451,3143.827,3110.256,3118.709,114643389
3118.926,3146.459,3114.788,3145.347,105425960
3151.888,3156.211,3111.899,3129.263,137962701
3129.692,3173.634,3101.483,3161.251,143982040
3161.551,3167.658,3145.555,3166.183,106435847
3168.139,3181.663,3135.99,3164.966,106263908
3159.672,3159.672,3121.366,3130.302,80934918
3096.785,3096.785,2977.774,2980.297,129360505
2980.081,2998.913,2941.35,2979.533,101732249
2984.618,3034.327,2972.096,3033.278,116308514
3021.289,3023.641,2978.457,2999.484,121726664
2995.568,3015.633,2966.785,2983.537,103518713
2988.077,2996.828,2965.832,2969.503,89146675
2962.145,2962.145,2866.342,2907.928,108271273
2883.167,2916.676,2865.469,2900.331,83749411
2912.196,2928.93,2867.938,2868.432,89344434
2867.649,2875.806,2820.949,2870.611,88734444
2821.354,2862.555,2809.132,2835.277,66079844
2804.514,2857.293,2770.328,2857.151,95340578
2838.951,2838.951,2734.999,2739.702,92649316
2685.992,2732.183,2665.812,2688.383,92026260
2690.859,2713.061,2646.589,2698.757,81854050
2745.604,2751.07,2638.533,2647.574,87897107
2628.019,2668.118,2604.198,2655.714,82544160
2653.579,2711.066,2646.896,2710.507,83077733
2692.096,2712.863,2677.19,2696.629,73368024
2663.882,2663.882,2557.239,2559.931,82648326
2555.141,2603.32,2529.625,2594.783,82792386
2581.63,2623.959,2554.984,2587.807,71372186
2571.54,2609.639,2551.452,2555.94,66390044
